"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,5,11,852,831.4,958.421436944244,958.421436944244,"GUANAJUATO","GT",2020-01-29
2020,5,12,338,372.6,503.367596614231,503.367596614231,"GUERRERO","GR",2020-01-29
2020,5,13,338,355.8,482.030849387778,482.030849387778,"HIDALGO","HG",2020-01-29
2020,5,14,987,1077.8,1168.29413126253,1168.29413126253,"JALISCO","JC",2020-01-29
2020,5,15,1756,1768.2,2009.71926254429,2009.71926254429,"MÉXICO","MC",2020-01-29
2020,5,16,589,538,821.966992435517,821.966992435517,"MICHOACÁN","MN",2020-01-29
2020,5,17,308,267.6,310.55292545385,310.55292545385,"MORELOS","MS",2020-01-29
2020,5,18,115,138,164.50992946206,164.50992946206,"NAYARIT","NT",2020-01-29
2020,5,19,646,656.6,982.153669610911,982.153669610911,"NUEVO LEÓN","NL",2020-01-29
2020,5,20,493,538.6,620.78147882711,620.78147882711,"OAXACA","OC",2020-01-29
2020,5,21,767,860.2,982.344249048161,982.344249048161,"PUEBLA","PL",2020-01-29
2020,5,22,240,235.6,288.229876138756,288.229876138756,"QUERÉTARO","QT",2020-01-29
2020,5,23,157,140.4,183.715664010946,183.715664010946,"QUINTANA ROO","QR",2020-01-29
2020,5,24,366,399.6,466.855471676998,466.855471676998,"SAN LUIS POTOSÍ","SP",2020-01-29
2020,5,25,326,320.6,378.603492458135,378.603492458135,"SINALOA","SL",2020-01-29
2020,5,26,410,395,426.783351311368,426.783351311368,"SONORA","SR",2020-01-29
2020,5,27,283,287.2,320.683157918251,320.683157918251,"TABASCO","TC",2020-01-29
2020,5,28,388,409.4,552.851427439926,552.851427439926,"TAMAULIPAS","TS",2020-01-29
2020,5,29,143,159.8,176.86750223374,176.86750223374,"TLAXCALA","TL",2020-01-29
2020,5,30,1005,1114,1206.4006918983,1206.4006918983,"VERACRUZ","VZ",2020-01-29
2020,5,31,235,282,297.286142595941,297.286142595941,"YUCATÁN","YN",2020-01-29
2020,5,32,208,217.4,296.823502722509,296.823502722509,"ZACATECAS","ZS",2020-01-29
2020,6,1,155,178,210.185695026475,210.185695026475,"AGUASCALIENTES","AS",2020-02-05
2020,6,2,596,470.2,558.407010126301,558.407010126301,"BAJA CALIFORNIA","BC",2020-02-05
2020,6,3,98,87.6,94.0674698506942,94.0674698506942,"BAJA CALIFORNIA SUR","BS",2020-02-05
2020,6,4,114,97.8,101.304449320866,101.304449320866,"CAMPECHE","CC",2020-02-05
2020,6,5,426,439,437.367808715674,437.367808715674,"COAHUILA","CL",2020-02-05
2020,6,6,114,109.8,109.713061229378,109.713061229378,"COLIMA","CM",2020-02-05
2020,6,7,534,554.2,573.260703273263,573.260703273263,"CHIAPAS","CS",2020-02-05
2020,6,8,607,573.6,591.232472226568,591.232472226568,"CHIHUAHUA","CH",2020-02-05
2020,6,9,1598,1637.8,1672.14226372334,1672.14226372334,"CIUDAD DE MÉXICO","DF",2020-02-05
2020,6,10,221,258.4,266.638160985816,266.638160985816,"DURANGO","DG",2020-02-05
2020,6,11,900,807.2,944.718030734468,944.718030734468,"GUANAJUATO","GT",2020-02-05
2020,6,12,275,456,485.501981410677,485.501981410677,"GUERRERO","GR",2020-02-05
2020,6,13,361,427,436.902429286578,436.902429286578,"HIDALGO","HG",2020-02-05
2020,6,14,1049,1109,1163.4542652144,1163.4542652144,"JALISCO","JC",2020-02-05
2020,6,15,1693,1764.4,1840.6471152436,1840.6471152436,"MÉXICO","MC",2020-02-05
2020,6,16,596,624.6,813.962799811162,813.962799811162,"MICHOACÁN","MN",2020-02-05
2020,6,17,276,281.8,341.297128848144,341.297128848144,"MORELOS","MS",2020-02-05
2020,6,18,122,169.2,164.969940592653,164.969940592653,"NAYARIT","NT",2020-02-05
2020,6,19,662,645,872.159812181062,872.159812181062,"NUEVO LEÓN","NL",2020-02-05
2020,6,20,492,539,541.525197191568,541.525197191568,"OAXACA","OC",2020-02-05
2020,6,21,797,876.2,921.076439776043,921.076439776043,"PUEBLA","PL",2020-02-05
2020,6,22,297,243.6,279.847293759075,279.847293759075,"QUERÉTARO","QT",2020-02-05
2020,6,23,145,138,178.697886393731,178.697886393731,"QUINTANA ROO","QR",2020-02-05
2020,6,24,359,427,414.760845662379,414.760845662379,"SAN LUIS POTOSÍ","SP",2020-02-05
2020,6,25,331,399.2,369.088541056581,369.088541056581,"SINALOA","SL",2020-02-05
2020,6,26,445,377,412.307695629015,412.307695629015,"SONORA","SR",2020-02-05
2020,6,27,307,317,313.65673989927,313.65673989927,"TABASCO","TC",2020-02-05
2020,6,28,427,467,490.162384864386,490.162384864386,"TAMAULIPAS","TS",2020-02-05
2020,6,29,134,156.8,175.61744102851,175.61744102851,"TLAXCALA","TL",2020-02-05
2020,6,30,1062,1177.6,1195.5658939143,1195.5658939143,"VERACRUZ","VZ",2020-02-05
2020,6,31,265,270.2,291.184681288102,291.184681288102,"YUCATÁN","YN",2020-02-05
