"date_ref","name","metric","deaths"
2020-01-15,"CAMPECHE","deaths_count",73
2020-01-15,"CAMPECHE","channel_endemic_estimation",93.8
2020-01-15,"CAMPECHE","farrington_estimation_all",105.332704289048
2020-01-15,"CAMPECHE","farrington_partial",105.332704289048
2020-01-15,"COAHUILA","deaths_count",386
2020-01-15,"COAHUILA","channel_endemic_estimation",431.2
2020-01-15,"COAHUILA","farrington_estimation_all",547.844298498389
2020-01-15,"COAHUILA","farrington_partial",547.844298498389
2020-01-15,"COLIMA","deaths_count",85
2020-01-15,"COLIMA","channel_endemic_estimation",103
2020-01-15,"COLIMA","farrington_estimation_all",123.40246092603
2020-01-15,"COLIMA","farrington_partial",123.40246092603
2020-01-15,"CHIAPAS","deaths_count",549
2020-01-15,"CHIAPAS","channel_endemic_estimation",599.6
2020-01-15,"CHIAPAS","farrington_estimation_all",648.380883735873
2020-01-15,"CHIAPAS","farrington_partial",648.380883735873
2020-01-15,"CHIHUAHUA","deaths_count",627
2020-01-15,"CHIHUAHUA","channel_endemic_estimation",614.8
2020-01-15,"CHIHUAHUA","farrington_estimation_all",648.713764565326
2020-01-15,"CHIHUAHUA","farrington_partial",648.713764565326
2020-01-15,"CIUDAD DE MÉXICO","deaths_count",1707
2020-01-15,"CIUDAD DE MÉXICO","channel_endemic_estimation",1757.6
2020-01-15,"CIUDAD DE MÉXICO","farrington_estimation_all",1908.51682221322
2020-01-15,"CIUDAD DE MÉXICO","farrington_partial",1908.51682221322
2020-01-15,"DURANGO","deaths_count",212
2020-01-15,"DURANGO","channel_endemic_estimation",254.2
2020-01-15,"DURANGO","farrington_estimation_all",278.276788598696
2020-01-15,"DURANGO","farrington_partial",278.276788598696
2020-01-15,"GUANAJUATO","deaths_count",847
2020-01-15,"GUANAJUATO","channel_endemic_estimation",807.4
2020-01-15,"GUANAJUATO","farrington_estimation_all",1020.66865966092
2020-01-15,"GUANAJUATO","farrington_partial",1020.66865966092
2020-01-15,"GUERRERO","deaths_count",334
2020-01-15,"GUERRERO","channel_endemic_estimation",484.4
2020-01-15,"GUERRERO","farrington_estimation_all",630.702654546879
2020-01-15,"GUERRERO","farrington_partial",630.702654546879
2020-01-15,"HIDALGO","deaths_count",327
2020-01-15,"HIDALGO","channel_endemic_estimation",438
2020-01-15,"HIDALGO","farrington_estimation_all",571.129229083885
2020-01-15,"HIDALGO","farrington_partial",571.129229083885
2020-01-15,"JALISCO","deaths_count",1081
2020-01-15,"JALISCO","channel_endemic_estimation",1093.4
2020-01-15,"JALISCO","farrington_estimation_all",1283.94644886595
2020-01-15,"JALISCO","farrington_partial",1283.94644886595
2020-01-15,"MÉXICO","deaths_count",1809
2020-01-15,"MÉXICO","channel_endemic_estimation",1870.6
2020-01-15,"MÉXICO","farrington_estimation_all",2196.16994985497
2020-01-15,"MÉXICO","farrington_partial",2196.16994985497
2020-01-15,"MICHOACÁN","deaths_count",613
2020-01-15,"MICHOACÁN","channel_endemic_estimation",639.6
2020-01-15,"MICHOACÁN","farrington_estimation_all",731.656195173086
2020-01-15,"MICHOACÁN","farrington_partial",731.656195173086
2020-01-15,"MORELOS","deaths_count",278
2020-01-15,"MORELOS","channel_endemic_estimation",316.8
2020-01-15,"MORELOS","farrington_estimation_all",313.760075151152
2020-01-15,"MORELOS","farrington_partial",313.760075151152
2020-01-15,"NAYARIT","deaths_count",164
2020-01-15,"NAYARIT","channel_endemic_estimation",157.6
2020-01-15,"NAYARIT","farrington_estimation_all",167.643391461725
2020-01-15,"NAYARIT","farrington_partial",167.643391461725
2020-01-15,"NUEVO LEÓN","deaths_count",678
2020-01-15,"NUEVO LEÓN","channel_endemic_estimation",781.2
2020-01-15,"NUEVO LEÓN","farrington_estimation_all",931.201973620311
2020-01-15,"NUEVO LEÓN","farrington_partial",931.201973620311
2020-01-15,"OAXACA","deaths_count",498
2020-01-15,"OAXACA","channel_endemic_estimation",579.6
2020-01-15,"OAXACA","farrington_estimation_all",634.85559004075
2020-01-15,"OAXACA","farrington_partial",634.85559004075
2020-01-15,"PUEBLA","deaths_count",821
2020-01-15,"PUEBLA","channel_endemic_estimation",860.6
2020-01-15,"PUEBLA","farrington_estimation_all",1058.78578554748
2020-01-15,"PUEBLA","farrington_partial",1058.78578554748
2020-01-15,"QUERÉTARO","deaths_count",249
2020-01-15,"QUERÉTARO","channel_endemic_estimation",248.6
2020-01-15,"QUERÉTARO","farrington_estimation_all",296.584521989861
2020-01-15,"QUERÉTARO","farrington_partial",296.584521989861
2020-01-15,"QUINTANA ROO","deaths_count",137
2020-01-15,"QUINTANA ROO","channel_endemic_estimation",146.8
2020-01-15,"QUINTANA ROO","farrington_estimation_all",183.704158825303
2020-01-15,"QUINTANA ROO","farrington_partial",183.704158825303
2020-01-15,"SAN LUIS POTOSÍ","deaths_count",319
2020-01-15,"SAN LUIS POTOSÍ","channel_endemic_estimation",404.6
2020-01-15,"SAN LUIS POTOSÍ","farrington_estimation_all",523.191457484412
2020-01-15,"SAN LUIS POTOSÍ","farrington_partial",523.191457484412
2020-01-15,"SINALOA","deaths_count",378
2020-01-15,"SINALOA","channel_endemic_estimation",383
2020-01-15,"SINALOA","farrington_estimation_all",398.67867248516
2020-01-15,"SINALOA","farrington_partial",398.67867248516
2020-01-15,"SONORA","deaths_count",441
2020-01-15,"SONORA","channel_endemic_estimation",395.4
2020-01-15,"SONORA","farrington_estimation_all",424.951841450136
2020-01-15,"SONORA","farrington_partial",424.951841450136
2020-01-15,"TABASCO","deaths_count",305
2020-01-15,"TABASCO","channel_endemic_estimation",291.2
2020-01-15,"TABASCO","farrington_estimation_all",388.370607787587
2020-01-15,"TABASCO","farrington_partial",388.370607787587
2020-01-15,"TAMAULIPAS","deaths_count",437
2020-01-15,"TAMAULIPAS","channel_endemic_estimation",507.6
2020-01-15,"TAMAULIPAS","farrington_estimation_all",552.540092489225
2020-01-15,"TAMAULIPAS","farrington_partial",552.540092489225
2020-01-15,"TLAXCALA","deaths_count",145
2020-01-15,"TLAXCALA","channel_endemic_estimation",166.4
2020-01-15,"TLAXCALA","farrington_estimation_all",195.155686450573
2020-01-15,"TLAXCALA","farrington_partial",195.155686450573
2020-01-15,"VERACRUZ","deaths_count",1132
2020-01-15,"VERACRUZ","channel_endemic_estimation",1213.2
2020-01-15,"VERACRUZ","farrington_estimation_all",1293.27663557433
2020-01-15,"VERACRUZ","farrington_partial",1293.27663557433
2020-01-15,"YUCATÁN","deaths_count",239
2020-01-15,"YUCATÁN","channel_endemic_estimation",305.6
2020-01-15,"YUCATÁN","farrington_estimation_all",299.027283094942
2020-01-15,"YUCATÁN","farrington_partial",299.027283094942
2020-01-15,"ZACATECAS","deaths_count",203
2020-01-15,"ZACATECAS","channel_endemic_estimation",247.8
2020-01-15,"ZACATECAS","farrington_estimation_all",311.079469557194
2020-01-15,"ZACATECAS","farrington_partial",311.079469557194
2020-01-22,"AGUASCALIENTES","deaths_count",135
2020-01-22,"AGUASCALIENTES","channel_endemic_estimation",160.4
2020-01-22,"AGUASCALIENTES","farrington_estimation_all",224.892186224284
2020-01-22,"AGUASCALIENTES","farrington_partial",224.892186224284
2020-01-22,"BAJA CALIFORNIA","deaths_count",587
2020-01-22,"BAJA CALIFORNIA","channel_endemic_estimation",466.6
2020-01-22,"BAJA CALIFORNIA","farrington_estimation_all",615.743587088746
2020-01-22,"BAJA CALIFORNIA","farrington_partial",615.743587088746
2020-01-22,"BAJA CALIFORNIA SUR","deaths_count",77
2020-01-22,"BAJA CALIFORNIA SUR","channel_endemic_estimation",79.6
2020-01-22,"BAJA CALIFORNIA SUR","farrington_estimation_all",112.058305275363
2020-01-22,"BAJA CALIFORNIA SUR","farrington_partial",112.058305275363
2020-01-22,"CAMPECHE","deaths_count",103
2020-01-22,"CAMPECHE","channel_endemic_estimation",101.2
2020-01-22,"CAMPECHE","farrington_estimation_all",104.003934659151
2020-01-22,"CAMPECHE","farrington_partial",104.003934659151
2020-01-22,"COAHUILA","deaths_count",389
2020-01-22,"COAHUILA","channel_endemic_estimation",438.8
2020-01-22,"COAHUILA","farrington_estimation_all",544.683575253172
2020-01-22,"COAHUILA","farrington_partial",544.683575253172
2020-01-22,"COLIMA","deaths_count",105
2020-01-22,"COLIMA","channel_endemic_estimation",89.4
2020-01-22,"COLIMA","farrington_estimation_all",125.074285412716
2020-01-22,"COLIMA","farrington_partial",125.074285412716
2020-01-22,"CHIAPAS","deaths_count",517
2020-01-22,"CHIAPAS","channel_endemic_estimation",561.8
2020-01-22,"CHIAPAS","farrington_estimation_all",626.348974106848
2020-01-22,"CHIAPAS","farrington_partial",626.348974106848
2020-01-22,"CHIHUAHUA","deaths_count",585
2020-01-22,"CHIHUAHUA","channel_endemic_estimation",534.6
2020-01-22,"CHIHUAHUA","farrington_estimation_all",633.826881614491
2020-01-22,"CHIHUAHUA","farrington_partial",633.826881614491
2020-01-22,"CIUDAD DE MÉXICO","deaths_count",1761
2020-01-22,"CIUDAD DE MÉXICO","channel_endemic_estimation",1723.6
2020-01-22,"CIUDAD DE MÉXICO","farrington_estimation_all",1799.17466401942
2020-01-22,"CIUDAD DE MÉXICO","farrington_partial",1799.17466401942
2020-01-22,"DURANGO","deaths_count",205
2020-01-22,"DURANGO","channel_endemic_estimation",234
2020-01-22,"DURANGO","farrington_estimation_all",275.148657953416
2020-01-22,"DURANGO","farrington_partial",275.148657953416
2020-01-22,"GUANAJUATO","deaths_count",849
2020-01-22,"GUANAJUATO","channel_endemic_estimation",860.4
2020-01-22,"GUANAJUATO","farrington_estimation_all",902.493113202347
2020-01-22,"GUANAJUATO","farrington_partial",902.493113202347
2020-01-22,"GUERRERO","deaths_count",294
2020-01-22,"GUERRERO","channel_endemic_estimation",457.4
2020-01-22,"GUERRERO","farrington_estimation_all",599.794450555886
2020-01-22,"GUERRERO","farrington_partial",599.794450555886
2020-01-22,"HIDALGO","deaths_count",372
2020-01-22,"HIDALGO","channel_endemic_estimation",428.4
2020-01-22,"HIDALGO","farrington_estimation_all",555.203103658991
2020-01-22,"HIDALGO","farrington_partial",555.203103658991
2020-01-22,"JALISCO","deaths_count",977
2020-01-22,"JALISCO","channel_endemic_estimation",1043.8
2020-01-22,"JALISCO","farrington_estimation_all",1261.00149077304
2020-01-22,"JALISCO","farrington_partial",1261.00149077304
2020-01-22,"MÉXICO","deaths_count",1752
2020-01-22,"MÉXICO","channel_endemic_estimation",1793.6
2020-01-22,"MÉXICO","farrington_estimation_all",2124.20884388626
2020-01-22,"MÉXICO","farrington_partial",2124.20884388626
2020-01-22,"MICHOACÁN","deaths_count",546
2020-01-22,"MICHOACÁN","channel_endemic_estimation",627.2
2020-01-22,"MICHOACÁN","farrington_estimation_all",801.90966408769
2020-01-22,"MICHOACÁN","farrington_partial",801.90966408769
2020-01-22,"MORELOS","deaths_count",298
2020-01-22,"MORELOS","channel_endemic_estimation",284.2
2020-01-22,"MORELOS","farrington_estimation_all",321.897856043835
2020-01-22,"MORELOS","farrington_partial",321.897856043835
2020-01-22,"NAYARIT","deaths_count",114
2020-01-22,"NAYARIT","channel_endemic_estimation",143.2
2020-01-22,"NAYARIT","farrington_estimation_all",164.730289135794
2020-01-22,"NAYARIT","farrington_partial",164.730289135794
2020-01-22,"NUEVO LEÓN","deaths_count",670
2020-01-22,"NUEVO LEÓN","channel_endemic_estimation",701
2020-01-22,"NUEVO LEÓN","farrington_estimation_all",885.550724306259
2020-01-22,"NUEVO LEÓN","farrington_partial",885.550724306259
2020-01-22,"OAXACA","deaths_count",486
