"date_ref","ent_regis","metric","deaths"
2020-01-15,"Alabama","deaths_count",1039
2020-01-15,"Alabama","channel_endemic_estimation",1210.6
2020-01-15,"Alabama","farrington_estimation_all",1266.09174153442
2020-01-15,"Alabama","farrington_partial",1266.09174153442
2020-01-22,"Alabama","deaths_count",1056
2020-01-22,"Alabama","channel_endemic_estimation",1202
2020-01-22,"Alabama","farrington_estimation_all",1203.93821032841
2020-01-22,"Alabama","farrington_partial",1203.93821032841
2020-01-29,"Alabama","deaths_count",1026
2020-01-29,"Alabama","channel_endemic_estimation",1132.2
2020-01-29,"Alabama","farrington_estimation_all",1194.37365199012
2020-01-29,"Alabama","farrington_partial",1194.37365199012
2020-02-05,"Alabama","deaths_count",1120
2020-02-05,"Alabama","channel_endemic_estimation",1147.2
2020-02-05,"Alabama","farrington_estimation_all",1176.10219378556
2020-02-05,"Alabama","farrington_partial",1176.10219378556
2020-02-12,"Alabama","deaths_count",1095
2020-02-12,"Alabama","channel_endemic_estimation",1109.6
2020-02-12,"Alabama","farrington_estimation_all",1158.07944119211
2020-02-12,"Alabama","farrington_partial",1158.07944119211
2020-02-19,"Alabama","deaths_count",1098
2020-02-19,"Alabama","channel_endemic_estimation",1100.8
2020-02-19,"Alabama","farrington_estimation_all",1150.01288368151
2020-02-19,"Alabama","farrington_partial",1150.01288368151
2020-02-26,"Alabama","deaths_count",1164
2020-02-26,"Alabama","channel_endemic_estimation",1156.6
2020-02-26,"Alabama","farrington_estimation_all",1141.58094710576
2020-02-26,"Alabama","farrington_partial",1141.58094710576
2020-03-04,"Alabama","deaths_count",1057
2020-03-04,"Alabama","channel_endemic_estimation",1086.2
2020-03-04,"Alabama","farrington_estimation_all",1176.49202374235
2020-03-04,"Alabama","farrington_partial",1176.49202374235
2020-03-11,"Alabama","deaths_count",1091
2020-03-11,"Alabama","channel_endemic_estimation",1088.4
2020-03-11,"Alabama","farrington_estimation_all",1147.96322543019
2020-03-11,"Alabama","farrington_partial",1147.96322543019
2020-03-18,"Alabama","deaths_count",1059
2020-03-18,"Alabama","channel_endemic_estimation",1045.6
2020-03-18,"Alabama","farrington_estimation_all",1133.11591771236
2020-03-18,"Alabama","farrington_partial",1133.11591771236
2020-03-25,"Alabama","deaths_count",1073
2020-03-25,"Alabama","channel_endemic_estimation",1044.8
2020-03-25,"Alabama","farrington_estimation_all",1124.48520119548
2020-03-25,"Alabama","farrington_partial",1124.48520119548
2020-04-01,"Alabama","deaths_count",1156
2020-04-01,"Alabama","channel_endemic_estimation",1041.2
2020-04-01,"Alabama","farrington_estimation_all",1113.8136447075
2020-04-01,"Alabama","farrington_partial",1113.8136447075
2020-04-08,"Alabama","deaths_count",1135
2020-04-08,"Alabama","channel_endemic_estimation",1029
2020-04-08,"Alabama","farrington_estimation_all",1111.69969630686
2020-04-08,"Alabama","farrington_partial",1111.69969630686
2020-04-15,"Alabama","deaths_count",1149
2020-04-15,"Alabama","channel_endemic_estimation",1022.4
2020-04-15,"Alabama","farrington_estimation_all",1116.72630812857
2020-04-15,"Alabama","farrington_partial",1116.72630812857
2020-04-22,"Alabama","deaths_count",1139
2020-04-22,"Alabama","channel_endemic_estimation",1023.2
2020-04-22,"Alabama","farrington_estimation_all",1114.1067450069
2020-04-22,"Alabama","farrington_partial",1114.1067450069
2020-04-29,"Alabama","deaths_count",1147
2020-04-29,"Alabama","channel_endemic_estimation",1035.2
2020-04-29,"Alabama","farrington_estimation_all",1101.60314687129
2020-04-29,"Alabama","farrington_partial",1101.60314687129
2020-05-06,"Alabama","deaths_count",1171
2020-05-06,"Alabama","channel_endemic_estimation",1042
2020-05-06,"Alabama","farrington_estimation_all",1092.7284582317
2020-05-06,"Alabama","farrington_partial",1092.7284582317
2020-05-13,"Alabama","deaths_count",1148
2020-05-13,"Alabama","channel_endemic_estimation",1002.2
2020-05-13,"Alabama","farrington_estimation_all",1104.20135216906
2020-05-13,"Alabama","farrington_partial",1104.20135216906
2020-05-20,"Alabama","deaths_count",1153
2020-05-20,"Alabama","channel_endemic_estimation",983.6
2020-05-20,"Alabama","farrington_estimation_all",1101.67501104035
2020-05-20,"Alabama","farrington_partial",1101.67501104035
2020-05-27,"Alabama","deaths_count",1109
2020-05-27,"Alabama","channel_endemic_estimation",1005
2020-05-27,"Alabama","farrington_estimation_all",1089.31829048975
2020-05-27,"Alabama","farrington_partial",1089.31829048975
2020-06-03,"Alabama","deaths_count",1173
2020-06-03,"Alabama","channel_endemic_estimation",1021.8
2020-06-03,"Alabama","farrington_estimation_all",1077.63740241071
2020-06-03,"Alabama","farrington_partial",1077.63740241071
2020-06-10,"Alabama","deaths_count",1138
2020-06-10,"Alabama","channel_endemic_estimation",967.6
2020-06-10,"Alabama","farrington_estimation_all",1081.99197537263
2020-06-10,"Alabama","farrington_partial",1081.99197537263
2020-06-17,"Alabama","deaths_count",1090
2020-06-17,"Alabama","channel_endemic_estimation",985
2020-06-17,"Alabama","farrington_estimation_all",1093.74787895034
2020-06-17,"Alabama","farrington_partial",1093.74787895034
2020-06-24,"Alabama","deaths_count",1151
2020-06-24,"Alabama","channel_endemic_estimation",934.8
2020-06-24,"Alabama","farrington_estimation_all",1080.67639505208
2020-06-24,"Alabama","farrington_partial",1080.67639505208
